PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,5/18/2024,06:17.5,1,1,"Rodriguez, Luke",10103796,Right,UCLA,"Cobb, Owen",686540,Right,STA_CAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.52063,-2.195663,-0.879865,2477.730544,195.002715,12:30,6.68828,0.48379,5.16513,-18.0741,16.60292,4.12032,3.11422,-0.00108,82.80781,-5.587115,-0.150179,0.42383,,,,,,,,,,,,-2.315,9.293,-0.40497,50,6.4701,1.83751,-132.53708,-5.70713,-4.0755,31.04415,-15.81404,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,b4c63820-1549-11ef-8e6c-cd53dcddf2e2,88.93282,,,8.71281,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,06:17.5,2024-05-18T12:06:17.5204056-07:00,2024-05-18T19:06:17.5204056Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,493c6a3f-365e-4a68-883b-25b2645a2497,55.33438,-133.78072,15.52208,6.68604,-5.07362,-7.90702,-0.48185,2.00078,-2.03775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,206.858221,37.009191,1978.564363,0.798539,1:00,-0.59855,-0.383564,-0.70329,-32.030124,22.389215,-13.871401,169.355246,-0.37839,0.184715,-0.006604,-0.98277,0.385015,-10.644519,0.006604,-0.184715,0.98277,-0.385015,10.644519,-0.006604,0.184715,0.98277,-169.355246,0.37839,-0.184715,0.006604,-0.98277
3,5/18/2024,06:49.0,1,3,"Rodriguez, Luke",10103796,Right,UCLA,"Cobb, Owen",686540,Right,STA_CAR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.9977,-0.037355,-0.830443,2545.592258,184.258856,12:15,6.67432,0.55771,5.20318,-17.34284,17.54942,1.21835,5.19395,-0.1219,82.34409,-3.313577,-0.614635,0.425144,,,,,,,,,,,,-0.85256,9.09056,-0.48173,50,6.65833,1.85365,-131.90946,-0.66474,-1.49078,30.04791,-16.27861,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,c77e16e0-1549-11ef-8e6c-cd53dcddf2e2,88.65808,,,8.65361,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,06:49.0,2024-05-18T12:06:48.9980120-07:00,2024-05-18T19:06:48.9980120Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,e5dc9c5b-6191-456e-affa-2cd61c0de34f,55.29594,-133.11037,15.02395,6.6719,-0.01414,-8.1393,-0.557,1.91324,-0.74539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,206.629256,44.749874,1807.846328,0.710187,1:00,-0.712933,-0.318776,-0.624587,-24.877738,44.391859,-6.809187,177.598374,-1.245287,0.041894,-0.021733,-0.998886,1.246382,-2.401059,0.021733,-0.041894,0.998886,-1.246382,2.401059,-0.021733,0.041894,0.998886,-177.598374,1.245287,-0.041894,0.021733,-0.998886
5,5/18/2024,07:41.2,2,1,"Rodriguez, Luke",10103796,Right,UCLA,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.59868,-2.08311,-1.302739,2345.23635,235.69069,1:45,6.18346,0.93322,5.7492,-29.25474,14.90788,19.36521,1.80475,1.33387,72.56418,-7.563928,2.166954,0.478298,,,,,,,,,,,,-10.19276,8.78343,-0.83641,50,5.9928,1.86968,-116.71581,-5.11996,-13.76449,26.27497,-20.31274,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,e6b32230-1549-11ef-8e6c-cd53dcddf2e2,78.8053,,,8.0345,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,07:41.2,2024-05-18T12:07:41.2319448-07:00,2024-05-18T19:07:41.2319448Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,302fc350-3e5e-486b-bd09-43e7a740fe2d,54.74911,-117.78007,13.13748,6.18352,-4.29719,-10.15637,-0.92344,2.42721,-6.88225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,233.842074,-11.500234,2298.15313,0.979924,1:45,0.214795,-0.783415,-0.583202,-22.825529,-25.736628,-38.436856,160.129521,-7.374391,0.337084,-0.128352,-0.932684,7.835601,-19.699292,0.128352,-0.337084,0.932684,-7.835601,19.699292,-0.128352,0.337084,0.932684,-160.129521,7.374391,-0.337084,0.128352,-0.932684
6,5/18/2024,08:02.2,2,2,"Rodriguez, Luke",10103796,Right,UCLA,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,90.22461,-3.108755,-1.992351,2459.902428,197.664619,12:30,6.61384,0.8399,5.34105,-15.65796,19.76493,5.89992,2.38786,-0.53834,81.87135,-6.076861,-0.944991,0.428365,98.55918,9.799809,34.522862,3179.934028,86.99544,9.10971,67.31854,167.04284,147.96957,40.135191,1.399156,-3.57792,11.2341,-0.66455,50,6.32233,4.27692,-130.61311,-7.59025,-6.13053,29.59872,-12.92512,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,f32be1f0-1549-11ef-8e6c-cd53dcddf2e2,87.99149,10.05343,,8.35325,,,,2.48499,2.72099,0.56083,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,08:02.2,2024-05-18T12:08:02.2302936-07:00,2024-05-18T19:08:02.2302936Z,LineDrive,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,1bcd6e18-5db1-4f4b-88ee-5955c4ca90e0,55.16083,-131.77744,14.79936,6.61091,-7.08181,-6.46256,-0.83754,4.51808,-3.06527,,2.48499,117.3596,-24.33291,4.16594,-0.93566,0.20142,-0.0426,0.0076,-0.00074,2.72099,24.60385,-22.29515,3.10863,-0.71672,0.17953,-0.0391,0.00697,-0.0007,0.56083,80.72799,-2.43211,-0.58835,0.20985,-0.06852,0.01701,-0.00322,0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,209.756138,36.988344,1964.866567,0.798758,1:00,-0.603026,-0.428476,-0.67288,-51.179709,14.278884,-34.584789,175.394723,-6.953085,0.0797,-0.121057,-0.989441,6.975384,-4.571335,0.121057,-0.0797,0.989441,-6.975384,4.571335,-0.121057,0.0797,0.989441,-175.394723,6.953085,-0.0797,0.121057,-0.989441
8,5/18/2024,09:04.0,3,2,"Rodriguez, Luke",10103796,Right,UCLA,"Nati, Jimmy",698840,Right,STA_CAR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.55756,-2.070627,-3.279741,2479.410813,195.554236,12:30,6.6738,0.58011,5.37136,-16.20619,19.5684,5.1139,3.37776,-2.07229,81.52141,-5.137323,-2.373283,0.430486,,,,,,,,,,,,-3.49866,10.75875,-0.28934,50,6.47662,7.19667,-129.65892,-5.19939,-5.93846,27.85026,-13.91265,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,17fd63a0-154a-11ef-8e6c-cd53dcddf2e2,87.55792,,,8.03615,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,09:04.0,2024-05-18T12:09:04.0196824-07:00,2024-05-18T19:09:04.0196824Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,1777bb74-3342-49bf-8c64-895254e6a6aa,55.12929,-130.75603,13.92513,6.67064,-4.65133,-6.95633,-0.57745,7.43061,-2.96923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,207.877948,37.630963,1963.593692,0.79196,1:00,-0.635868,-0.392131,-0.66476,-37.939364,17.110322,-30.022344,171.762691,3.674172,0.142979,0.064082,-0.987649,3.712366,8.220261,0.064082,0.142979,0.987649,-3.712366,-8.220261,-0.064082,-0.142979,0.987649,-171.762691,-3.674172,-0.142979,-0.064082,-0.987649
9,5/18/2024,09:21.0,3,3,"Rodriguez, Luke",10103796,Right,UCLA,"Nati, Jimmy",698840,Right,STA_CAR,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.19025,-2.041074,-1.026817,2861.168427,83.751588,8:45,6.62069,0.57398,5.05284,-41.10191,0.21488,-8.65351,1.26927,-1.11574,77.44971,-9.419933,-2.559679,0.462631,,,,,,,,,,,,4.0939,0.90933,-0.46881,50,6.39291,2.52631,-120.80711,-5.84384,6.10419,21.56344,-30.8182,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,2225a3b0-154a-11ef-8e6c-cd53dcddf2e2,81.47408,,,5.74054,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,09:21.0,2024-05-18T12:09:21.0356440-07:00,2024-05-18T19:09:21.0356440Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,c9dd0812-dc72-48f8-9d37-d6efa5a4b53d,55.45307,-121.77657,10.78172,6.6245,-4.4583,-15.4091,-0.57622,2.25188,3.0521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,165.92746,77.334207,627.350521,0.219264,11:30,-0.9806,0.018531,-0.195142,66.789113,29.077168,69.530451,169.047372,-3.561837,0.18963,-0.062126,-0.979888,3.627746,-10.93121,0.062126,-0.18963,0.979888,-3.627746,10.93121,-0.062126,0.18963,0.979888,-169.047372,3.561837,-0.18963,0.062126,-0.979888
10,5/18/2024,09:38.7,3,4,"Rodriguez, Luke",10103796,Right,UCLA,"Nati, Jimmy",698840,Right,STA_CAR,Undefined,1,Top,0,2,1,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,83.61263,-0.957699,-0.379369,2695.758076,91.325867,9:00,6.61043,0.64937,4.92063,-39.88431,1.4563,-8.41162,2.38114,-0.4103,77.05927,-8.153135,-1.864812,0.462764,77.59062,72.050059,26.892513,4875.0062,,,,,36.19054,,,4.09567,1.30291,-0.60485,50,6.48345,1.16666,-121.36685,-3.5496,6.12014,23.34388,-30.22708,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,2cb50a00-154a-11ef-8e6c-cd53dcddf2e2,81.45062,123.08002,,6.55337,,,,2.90381,2.87439,0.07252,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,09:38.7,2024-05-18T12:09:38.6884312-07:00,2024-05-18T19:09:38.6884312Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,370a9054-0010-42f5-b1fd-3fad5e1572d7,55.58402,-122.43618,11.67194,6.61434,-2.16497,-15.11354,-0.65187,0.88631,3.06007,,2.90384,31.27467,-12.86585,3.28279,-0.16367,-0.45963,0.29125,-0.08538,0.01015,2.87439,108.26047,-25.01415,2.69013,-0.5365,0.13322,-0.04685,0.01263,-0.00154,0.07251,15.86537,-2.70382,-0.16986,-0.12999,0.27133,-0.16488,0.04839,-0.00587,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,181.477835,76.573242,625.960913,0.232202,12:00,-0.973947,-0.022245,-0.225681,61.468352,29.110098,68.465319,167.223925,-5.403736,0.220158,-0.094173,-0.970908,5.540076,-12.718343,0.094173,-0.220158,0.970908,-5.540076,12.718343,-0.094173,0.220158,0.970908,-167.223925,5.403736,-0.220158,0.094173,-0.970908
11,5/18/2024,10:14.0,4,1,"Rodriguez, Luke",10103796,Right,UCLA,"Saum, Charlie",691793,Right,STA_CAR,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.09666,-2.705212,-1.671298,2653.382425,81.129909,8:45,6.60187,0.49669,5.19906,-42.19278,0.08114,-7.11933,0.5382,-1.66913,76.56911,-10.275742,-2.935889,0.467959,,,,,,,,,,,,3.18921,0.99784,-0.33595,50,6.3183,3.7616,-119.15458,-7.15341,4.62231,21.15255,-30.72781,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,41be2bc0-154a-11ef-8e6c-cd53dcddf2e2,80.54648,,,5.52755,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,10:14.0,2024-05-18T12:10:14.0493016-07:00,2024-05-18T19:10:14.0493016Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,31de3440-94ac-4c4c-a59b-f94850a56465,55.30724,-120.09304,10.57627,6.60543,-5.79014,-15.3639,-0.49829,3.55653,2.31116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,131.045178,81.474422,393.366387,0.148251,10:15,-0.995542,0.065009,-0.068343,71.164565,29.731086,69.607221,167.540023,-6.809221,0.214236,-0.118564,-0.96956,6.97187,-12.370693,0.118564,-0.214236,0.96956,-6.97187,12.370693,-0.118564,0.214236,0.96956,-167.540023,6.809221,-0.214236,0.118564,-0.96956
12,5/18/2024,10:32.7,4,2,"Rodriguez, Luke",10103796,Right,UCLA,"Saum, Charlie",691793,Right,STA_CAR,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.03724,-0.841848,-0.03764,2755.423695,99.73368,9:15,6.63301,0.6525,5.04297,-39.76581,2.64717,-8.46434,2.52496,-0.08837,76.16489,-8.021908,-1.535726,0.468728,,,,,,,,,,,,4.21382,1.87449,-0.64178,50,6.52063,0.4343,-119.19944,-3.22053,6.12519,20.69867,-29.4493,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,4cdc8ba0-154a-11ef-8e6c-cd53dcddf2e2,80.41432,,,5.87235,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,10:32.7,2024-05-18T12:10:32.6620376-07:00,2024-05-18T19:10:32.6620376Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,dff84f6d-3cf4-461c-9751-a0c2faa6887d,55.46171,-120.14411,10.34934,6.63695,-1.8765,-14.72465,-0.65522,0.15475,3.0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,156.744876,79.124413,519.885158,0.188677,11:15,-0.983141,0.060058,-0.172702,71.620708,31.729972,69.608123,171.234126,-0.850208,0.15238,-0.014838,-0.988211,0.860255,-8.764901,0.014838,-0.15238,0.988211,-0.860255,8.764901,-0.014838,0.15238,0.988211,-171.234126,0.850208,-0.15238,0.014838,-0.988211
13,5/18/2024,10:50.6,4,3,"Rodriguez, Luke",10103796,Right,UCLA,"Saum, Charlie",691793,Right,STA_CAR,Undefined,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.25101,-1.69025,-1.163751,2845.83552,92.125856,9:00,6.5555,0.49252,4.98647,-41.01612,1.57567,-8.07874,1.5405,-1.27985,76.10455,-9.072089,-2.592286,0.469715,,,,,,,,,,,,3.73284,1.56382,-0.37328,50,6.35871,2.76387,-119.3664,-5.04796,5.40384,22.25327,-29.91021,UCLA,STA_CAR,UCLA,D1,PAC12,20240518-UCLA-1,578b39c0-154a-11ef-8e6c-cd53dcddf2e2,80.24538,,,6.14646,,,,,,,4b2a31fb-877c-41fc-93eb-e9bad04fd929,5/18/2024,10:50.6,2024-05-18T12:10:50.6108632-07:00,2024-05-18T19:10:50.6108632Z,,v3,5048,471454,18 May 2024 15:00-stanford@ucla,"Landis, Quintt",1000078207,Right,UCLA,17fddb6c-b03f-43d1-b165-acb04343a103,55.5184,-120.39079,11.12663,6.55939,-3.6711,-14.95511,-0.49479,2.51512,2.70192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,155.384838,80.729746,458.439815,0.161091,11:15,-0.99126,0.037958,-0.126346,72.227071,34.578097,72.76169,171.902316,-3.111043,0.140654,-0.054271,-0.98857,3.142312,-8.08567,0.054271,-0.140654,0.98857,-3.142312,8.08567,-0.054271,0.140654,0.98857,-171.902316,3.111043,-0.140654,0.054271,-0.98857
